"gene","s2_T","s2_TG","s2_TD","s2_res","share_T","share_TG","share_TD","share_res"
"ENSG00000138759",1.06785890494265e-07,1.74750921890505e-06,0,0.0023197090148009,4.59974061609334e-05,0.000752729512671599,0,0.999201273081167
"ENSG00000138760",0.0629825375898856,0.0791711238849014,0.0666839806047877,0.815500760818992,0.0614860649680459,0.0772900085175672,0.0650995612544568,0.79612436525993
"ENSG00000138764",0.0435912027603226,0.0675677398604207,0.0519825427308586,0.837918042268615,0.043545065560637,0.0674962257449835,0.0519275240848412,0.837031184609538
"ENSG00000138767",0.00390024597991781,0.0122882054693354,0.0118960294409949,0.349215876393044,0.0103372443323433,0.032568761815693,0.0315293352135972,0.925564658638367
"ENSG00000138768",0.0217600889110242,0.023361936491796,0.0231358170471357,0.425743574844029,0.0440486366015313,0.0472912337372771,0.0468335033811601,0.861826626280031
"ENSG00000138769",0.00710895581588779,0.0169407969297495,0.0139881124752789,0.508852501973677,0.0129988682235434,0.0309765868004797,0.025577544082618,0.930447000893359
"ENSG00000138771",0,8.21403278274036e-06,2.62978607110296e-12,0.00481702572166363,0,0.00170230562547583,5.45006300929692e-10,0.998297693829518
"ENSG00000138772",0.00447183582245883,0.0614418837043072,0.0905047860727265,0.642500512639085,0.0055973580805701,0.0769062724777432,0.11328405508767,0.804212314354016
"ENSG00000138777",0.0365871769944151,0.0453777065968222,0.0468276333824713,0.566996465113278,0.0525837257219474,0.0652176274201898,0.0673014873590181,0.814897159498845
"ENSG00000138778",0.127447171960153,0.132382456310753,0.108843010977016,0.926781843339723,0.098380277866328,0.102189971234127,0.0840191704455757,0.715410580453969
"ENSG00000138780",0.0681085361644151,0.0842100957927333,0.0765184659633057,0.715724092117783,0.0721060074061035,0.0891526104193676,0.0810095383658608,0.757731843808668
"ENSG00000138785",0.0494024372838798,0.0621698418542326,0.0531059112819155,0.69138587524464,0.0577088085639041,0.0726228846038088,0.0620349730959479,0.807633333736339
"ENSG00000138792",0,0.00381508760944057,0.00638240880147767,0.18290245649135,0,0.019757061315139,0.0330523581469123,0.947190580537949
"ENSG00000138794",0.058600211694374,0.069748276284978,0.0552819368799135,0.667028989977183,0.0688879834541545,0.0819931867777988,0.064987156922894,0.784131672845153
"ENSG00000138795",0.00495745949508504,0.0314042488354916,0.0514146322764888,0.523170341430336,0.00811438975092356,0.0514026015015974,0.0841556780454718,0.856327330702007
"ENSG00000138796",0.059160499566742,0.0552172987501067,0.0486932945964819,0.594660368579309,0.0780758125711225,0.0728718570578227,0.0642619411639078,0.784790389207147
"ENSG00000138798",0,0,0,0.0009192676166721,0,0,0,1
"ENSG00000138801",0.0399244791427678,0.0525875267472764,0.039874121563123,0.555649539156768,0.0580267580305573,0.0764313963640632,0.0579535676683584,0.807588277937021
"ENSG00000138802",0.0266373972264297,0.0396363036222283,0.0403684679060238,0.567519930158023,0.0395118581560589,0.0587934321525255,0.0598794681147611,0.841815241576655
"ENSG00000138813",1.43730655374592e-07,3.49664835652428e-06,0,0.00260722254732376,5.50510154802794e-05,0.0013392692206296,0,0.99860567976389
"ENSG00000138814",0.0233936946673831,0.0460409915457658,0.0495423858792122,0.565474772746074,0.0341787298022481,0.0672669551451553,0.072382573372867,0.82617174167973
"ENSG00000138821",0.00596670550616816,0.0139000540352107,0.0173034186734132,0.268536813499255,0.0195177266725692,0.0454685512989922,0.0566013180673293,0.878412403961109
"ENSG00000138823",2.29904459330487e-05,0.000105337998007678,0,0.035752325999416,0.000640747675584978,0.00293578809087695,0,0.996423464233538
"ENSG00000138829",6.1936654903878e-07,0,1.97428580509706e-13,0.000782797338107388,0.00079059655634267,0,2.52009663932984e-10,0.999209403191648
"ENSG00000138834",0.036616595963859,0.0785383145467307,0.0608237288478636,0.778437807833904,0.0383654284998707,0.0822893557395934,0.0637287098590883,0.815616505901448
"ENSG00000138835",0.0400788518389129,0.0767608996015452,0.0763320040796688,0.854215226591009,0.0382655623217018,0.0732880023454409,0.0728785113653144,0.815567923967543
"ENSG00000138867",0.0269097626212742,0.0302738785683019,0.0324416283717419,0.483865573693999,0.0469227415533364,0.0527887740917671,0.0565686946065135,0.843719789748383
"ENSG00000138892",0,3.70328419295073e-07,0,0.00107539498990382,0,0.000344246475497402,0,0.999655753524503
"ENSG00000138942",0.0437009189649881,0.0681042109336267,0.0553336059532324,0.70170205793215,0.0502979593932978,0.0783851442299544,0.063686703420361,0.807630192956387
"ENSG00000138944",0,3.76350417669297e-13,0,0.00100987839980228,0,3.72669043721232e-10,0,0.999999999627331
"ENSG00000138964",0.050164561242534,0.074258507791664,0.0682882616430981,0.649795075183121,0.0595420532040976,0.0881399919040696,0.0810537002070128,0.77126425468482
"ENSG00000139044",0.00281604868170353,0.0192777396885115,0.0242367043643468,0.436812726597799,0.00582860023492607,0.0399006731692328,0.0501646373053496,0.904106089290492
"ENSG00000139053",2.75070882586008e-11,6.6194493995119e-05,0.000138461334313453,0.0192794303675742,1.41177204531048e-09,0.00339736199256064,0.00710638070094536,0.989496255894722
"ENSG00000139055",0.0253127710005047,0.0481430646681362,0.0402646277316968,0.678410009604713,0.0319553051714794,0.0607766855446164,0.0508308026314752,0.856437206652429
"ENSG00000139083",0.00798306323973056,0.0204965843420592,0.0178655069963483,0.455286520757706,0.0159141928874126,0.0408598287345725,0.0356147904423844,0.90761118793563
"ENSG00000139112",0.00311022049466001,0.0279056727085034,0.0287393901415369,0.570787446119121,0.00493260860735762,0.0442565926217766,0.0455788145649944,0.905231984205871
"ENSG00000139116",0.0478204420466563,0.0835236629940266,0.0889076992734461,0.733131024520949,0.0501586986888439,0.0876076854625993,0.0932549827670809,0.768978633081476
"ENSG00000139117",7.86562346572119e-10,0.110442910030602,0.160762652932479,0.813938899119757,7.24845744954774e-10,0.101777149319421,0.148148618394441,0.750074231561292
"ENSG00000139131",0.0272521150526023,0.0392154347818026,0.0378183738597705,0.548747142113156,0.0417316005567208,0.0600512237972535,0.0579118820162902,0.840305293629736
"ENSG00000139132",0.00024410210695666,0.000932083727245698,0.00124970588701323,0.116047944732827,0.0020603883039725,0.00786742250562016,0.0105483702091306,0.979523818981277
"ENSG00000139144",0,0,0,0.000324752958020327,0,0,0,1
