target,n_guides,E_t,R_t,R_status,S_t,rank_S,rank_E,rank_shift
GTF2H4,2,1.04943,0.5775,ok,0.60604,126,309,183
GAR1,2,1.23507,0.4906,ok,0.6059,127,174,47
EIF6,2,0.97402,0.6195,ok,0.60341,128,387,259
MSH3,2,1.02831,0.5833,ok,0.59978,129,325,196
UTP14A,2,0.97206,0.6148,ok,0.59762,130,390,260
RCC1,2,1.09706,0.5428,ok,0.59545,131,264,133
RRP36,2,1.07229,0.5552,ok,0.59538,132,287,155
MNAT1,2,1.02024,0.5785,ok,0.5902,133,337,204
RPL24,2,1.1184,0.5277,ok,0.59018,134,246,112
NOB1,2,0.97475,0.6011,ok,0.58593,135,386,251
GTF2B,2,1.39876,0.4165,ok,0.58259,136,89,-47
EIF2B3,2,0.99223,0.5866,ok,0.58201,137,364,227
TRAPPC1,2,0.96248,0.6045,ok,0.58186,138,407,269
FARSB,2,1.23889,0.4689,ok,0.58086,139,171,32
STT3B,2,0.93012,0.6241,ok,0.5805,140,443,303
PRDM10,2,1.35187,0.4268,ok,0.57703,141,110,-31
IMP3,2,0.9503,0.606,ok,0.57588,142,416,274
NIFK,2,1.24484,0.4625,ok,0.57573,143,167,24
RPL39,2,0.99688,0.5758,ok,0.574,144,357,213
GNL3L,2,1.24771,0.4598,ok,0.57367,145,165,20
ZNF341,2,0.99805,0.5743,ok,0.57323,146,355,209
CIAO2B,2,0.96944,0.5902,ok,0.57213,147,393,246
MED18,2,1.27523,0.4469,ok,0.56994,148,147,-1
BOD1L1,2,0.88281,0.6455,ok,0.56981,149,497,348
NOL9,2,1.09052,0.5221,ok,0.56933,150,270,120
TRIAP1,2,0.96412,0.5874,ok,0.56637,151,402,251
NOC4L,2,0.92467,0.6106,ok,0.56462,152,446,294
TARS1,2,0.96827,0.5796,ok,0.56125,153,395,242
GPN2,2,1.16319,0.4816,ok,0.56025,154,222,68
NMNAT1,2,1.00019,0.56,ok,0.56013,155,351,196
HGS,2,1.07975,0.5184,ok,0.55969,156,280,124
RPS4X,2,1.4305,0.3912,ok,0.55963,157,76,-81
XRCC3,2,1.11383,0.502,ok,0.55912,158,249,91
GEMIN2,2,0.96226,0.5804,ok,0.55848,159,408,249
TIMM22,2,0.98952,0.564,ok,0.55812,160,371,211
HAUS7,2,1.16465,0.4785,ok,0.55726,161,220,59
LAS1L,2,0.98929,0.5633,ok,0.55724,162,372,210
NUP62,2,1.05007,0.5291,ok,0.55557,163,307,144
DCTN5,2,1.48722,0.3717,ok,0.55282,164,54,-110
ORC5,2,1.08558,0.5083,ok,0.55176,165,272,107
SPCS3,2,0.95101,0.5745,ok,0.54632,166,415,249
MVK,2,1.14367,0.4766,ok,0.54509,167,230,63
EIF2S2,2,0.97666,0.5549,ok,0.54197,168,385,217
FXN,2,0.86173,0.627,ok,0.5403,169,527,358
SAE1,2,1.09665,0.4911,ok,0.53853,170,266,96
AARS1,2,1.39364,0.3863,ok,0.53832,171,92,-79
ORC4,2,0.87047,0.6181,ok,0.53805,172,519,347
HMGCS1,2,1.13375,0.4736,ok,0.53689,173,236,63
SRRM2,2,1.00375,0.5348,ok,0.53685,174,347,173
TSEN54,2,0.96891,0.5534,ok,0.53618,175,394,219
NCAPG,2,1.86843,0.2863,ok,0.53495,176,9,-167
HYPK,2,1.0935,0.4869,ok,0.53241,177,268,91
POP5,2,1.46147,0.3642,ok,0.5322,178,65,-113
ATPSCKMT,2,1.18787,0.4479,ok,0.53201,179,204,25
TSR2,2,0.99525,0.5343,ok,0.53171,180,360,180
GTF3C3,2,0.79833,0.6657,ok,0.53143,181,613,432
XRN2,2,0.90065,0.5899,ok,0.53125,182,475,293
TRA2B,2,1.011,0.5252,ok,0.53098,183,342,159
BUD23,2,0.97761,0.5427,ok,0.53051,184,384,200
LSM8,2,1.38932,0.3805,ok,0.52869,185,96,-89
ILF2,2,1.50772,0.3489,ok,0.52611,186,45,-141
RANGAP1,2,1.61971,0.3235,ok,0.52395,187,29,-158
TELO2,2,1.06214,0.4924,ok,0.52295,188,298,110
TSR1,2,1.04622,0.4989,ok,0.52192,189,311,122
NOL8,2,1.13499,0.4593,ok,0.52127,190,235,45
FBRSL1,2,0.95479,0.5453,ok,0.52066,191,414,223
EIF3A,2,1.434,0.3627,ok,0.52013,192,75,-117
GUK1,2,1.08034,0.4809,ok,0.51954,193,278,85
POP7,2,0.86103,0.6029,ok,0.51913,194,529,335
ABCF1,2,0.94144,0.549,ok,0.51687,195,430,235
BTBD9,2,0.79675,0.6467,ok,0.51527,196,617,421
URB1,2,0.93205,0.5524,ok,0.51486,197,439,242
VIRMA,2,1.06259,0.4841,ok,0.51436,198,297,99
SARS1,2,1.65562,0.3103,ok,0.51369,199,23,-176
RIOK2,2,1.09849,0.467,ok,0.51296,200,259,59
PSPH,2,1.06532,0.4813,ok,0.51276,201,295,94
CRCP,2,1.04976,0.4863,ok,0.51048,202,308,106
EIF3I,2,1.07037,0.4761,ok,0.50964,203,291,88
CARS1,2,1.20366,0.423,ok,0.5092,204,187,-17
DDX59,2,0.9981,0.5088,ok,0.50783,205,354,149
PAK1IP1,2,0.96327,0.5267,ok,0.50739,206,406,200
RPAP3,2,1.02536,0.4947,ok,0.50721,207,331,124
GTF2E2,2,0.98875,0.5117,ok,0.50598,208,373,165
RPP30,2,0.91637,0.5513,ok,0.5052,209,459,250
YEATS4,2,1.03732,0.4853,ok,0.5034,210,317,107
UBA3,2,0.97999,0.5134,ok,0.50309,211,382,171
RARS1,2,0.85227,0.5898,ok,0.50267,212,538,326
PPAN,2,0.99549,0.5032,ok,0.5009,213,359,146
HYOU1,2,0.91067,0.5495,ok,0.50043,214,467,253
RRP9,2,0.79613,0.6284,ok,0.50026,215,618,403
NOP16,2,0.98675,0.5067,ok,0.49999,216,375,159
